n,mot,categorie,objet_anglais,prompt_a_copier_coller
32,pomme,Aliments,an apple,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : an apple. Pas de visage sur l'objet."
33,banane,Aliments,a banana,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a banana. Pas de visage sur l'objet."
34,fraise,Aliments,a strawberry,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a strawberry. Pas de visage sur l'objet."
35,orange,Aliments,an orange fruit,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : an orange fruit. Pas de visage sur l'objet."
36,compote,Aliments,an apple sauce pot,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : an apple sauce pot. Pas de visage sur l'objet."
37,yaourt,Aliments,a yogurt pot with a spoon,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a yogurt pot with a spoon. Pas de visage sur l'objet."
38,fromage,Aliments,a cheese wedge,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a cheese wedge. Pas de visage sur l'objet."
39,gâteau,Aliments,a small birthday cake,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a small birthday cake. Pas de visage sur l'objet."
40,biscuit,Aliments,a round cookie,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a round cookie. Pas de visage sur l'objet."
41,chocolat,Aliments,a chocolate bar,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a chocolate bar. Pas de visage sur l'objet."
42,bonbon,Aliments,a wrapped candy,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a wrapped candy. Pas de visage sur l'objet."
43,glace,Aliments,an ice cream cone,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : an ice cream cone. Pas de visage sur l'objet."
44,pâtes,Aliments,a bowl of pasta,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a bowl of pasta. Pas de visage sur l'objet."
45,œuf,Aliments,an egg,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : an egg. Pas de visage sur l'objet."
46,carotte,Aliments,a carrot,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a carrot. Pas de visage sur l'objet."
47,tomate,Aliments,a tomato,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a tomato. Pas de visage sur l'objet."
48,tétine,Quotidien,a baby pacifier,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a baby pacifier. Pas de visage sur l'objet."
49,cuillère,Quotidien,a spoon,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a spoon. Pas de visage sur l'objet."
50,assiette,Quotidien,a plate,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a plate. Pas de visage sur l'objet."
51,verre,Quotidien,a small cup,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a small cup. Pas de visage sur l'objet."
52,bol,Quotidien,a bowl,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a bowl. Pas de visage sur l'objet."
53,brosse à dents,Quotidien,a toothbrush,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a toothbrush. Pas de visage sur l'objet."
54,savon,Quotidien,a soap bar with bubbles,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a soap bar with bubbles. Pas de visage sur l'objet."
55,serviette,Quotidien,a folded towel,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a folded towel. Pas de visage sur l'objet."
56,couche,Quotidien,a baby diaper,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a baby diaper. Pas de visage sur l'objet."
57,chaussure,Vêtements,a small child shoe,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a small child shoe. Pas de visage sur l'objet."
58,chaussette,Vêtements,a sock,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a sock. Pas de visage sur l'objet."
59,manteau,Vêtements,a child coat,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a child coat. Pas de visage sur l'objet."
60,bonnet,Vêtements,a beanie hat with a pompom,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a beanie hat with a pompom. Pas de visage sur l'objet."
61,pyjama,Vêtements,child pajamas,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : child pajamas. Pas de visage sur l'objet."
62,doudou,Jouets,a soft baby comforter toy (small blanket with a bear head),"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a soft baby comforter toy (small blanket with a bear head). Pas de visage sur l'objet."
63,nounours,Jouets,a teddy bear,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a teddy bear. Yeux fermés souriants."
64,ballon,Jouets,a balloon on a string,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a balloon on a string. Pas de visage sur l'objet."
65,balle,Jouets,a ball,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a ball. Pas de visage sur l'objet."
66,poupée,Jouets,a rag doll,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a rag doll. Personnage simple et rond, yeux fermés souriants."
67,livre,Jouets,an open picture book,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : an open picture book. Pas de visage sur l'objet."
68,cube,Jouets,three stacked building blocks,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : three stacked building blocks. Pas de visage sur l'objet."
69,vélo,Jouets,a child tricycle,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a child tricycle. Pas de visage sur l'objet."
70,bulles,Jouets,soap bubbles with a bubble wand,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : soap bubbles with a bubble wand. Pas de visage sur l'objet."
71,voiture,Véhicules,a car,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a car. Pas de visage sur l'objet."
72,camion,Véhicules,a truck,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a truck. Pas de visage sur l'objet."
73,bus,Véhicules,a bus,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a bus. Pas de visage sur l'objet."
74,train,Véhicules,a small train with one wagon,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a small train with one wagon. Pas de visage sur l'objet."
75,avion,Véhicules,an airplane,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : an airplane. Pas de visage sur l'objet."
76,bateau,Véhicules,a sailboat,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a sailboat. Pas de visage sur l'objet."
77,tracteur,Véhicules,a tractor,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a tractor. Pas de visage sur l'objet."
78,lit,Maison,a child bed,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a child bed. Pas de visage sur l'objet."
79,chaise,Maison,a chair,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a chair. Pas de visage sur l'objet."
80,table,Maison,a table,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a table. Pas de visage sur l'objet."
81,porte,Maison,a door,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a door. Pas de visage sur l'objet."
82,bain,Maison,a bathtub with bubbles,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a bathtub with bubbles. Pas de visage sur l'objet."
83,pot,Maison,a baby potty,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a baby potty. Pas de visage sur l'objet."
84,clé,Maison,a key,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a key. Pas de visage sur l'objet."
85,téléphone,Maison,a phone,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a phone. Pas de visage sur l'objet."
86,télévision,Maison,a television,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a television. Pas de visage sur l'objet."
87,lampe,Maison,a bedside lamp,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a bedside lamp. Pas de visage sur l'objet."
88,soleil,Nature,the sun,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : the sun. Pas de visage sur l'objet."
89,lune,Nature,a crescent moon,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a crescent moon. Pas de visage sur l'objet."
90,étoile,Nature,a star,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a star. Pas de visage sur l'objet."
91,nuage,Nature,a cloud,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a cloud. Pas de visage sur l'objet."
92,pluie,Nature,a cloud with rain drops,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a cloud with rain drops. Pas de visage sur l'objet."
93,fleur,Nature,a flower,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a flower. Pas de visage sur l'objet."
94,arbre,Nature,a tree,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a tree. Pas de visage sur l'objet."
95,feuille,Nature,a leaf,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a leaf. Pas de visage sur l'objet."
96,neige,Nature,a snowman,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a snowman. Pas de visage sur l'objet."
97,mer,Nature,sea waves with a little sun,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : sea waves with a little sun. Pas de visage sur l'objet."
98,maison,Lieux,a house,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a house. Pas de visage sur l'objet."
99,parc,Lieux,a playground slide,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a playground slide. Pas de visage sur l'objet."
100,école,Lieux,a small school building,"Même style exactement, même palette, même texture, même fond beige uni. Pas de bordure blanche, pas d'effet autocollant, pas de texte : a small school building. Pas de visage sur l'objet."
